asset_id,new_no,no_pc,Equipment_details,type_equipment,project,spec,ssd,ram,gpu,monitor1,brand_1,monitor2,brand_2,yfm_1,How_long,Service_life,update
1,430158GPHP128,CA-0177,HP Pavilion 550-013l (หน้ากากสี่ขาว),PC,,I5-4460,120 GB,8 GB,GT 710,MO-0170,"Acer 19.5""",,,,,,
2,430156GNCC112,CA-0161,Computer ประกอบทั่วไป,PC,,I3-3240T,120 GB,4 GB,HD Graphics,MO-0127,"HP  19.5""",,,,,,
3,430158GPHP129,CA-0178,HP Pavilion 550-013l (หน้ากากสี่ขาว),PC,,I5-4460,120 GB,8 GB,HD Graphics,MO-0280,"MSI 24""",,,,,,
4,430159GNCC150,CA-0199,Comp. คอมสั่งประกอบ ใช้งานทั่วไป,PC,,I3-4160,120 GB,8 GB,Graphics 54400,MO-0204,"Acer 19.5""",,,,,,
5,430158GNCC123,CA-0172,IRON Computer Case (คอมประกอบหน้ากาก สีดำ),PC,,I5-4460,120 GB,8 GB,Graphics 4600,MO-0066,"HP  19.5""",,,,,,
6,430163GPAC004,CA-0253,PC Acer TC-390-R538G1T00Mi/T001,PC,,Ryzen5 5400G,240 GB,14 GB,Rx Vega 11,MO-0021,"Samsung 19.5""",,,,,,
7,,,,PC,,i5-14400,500 GB,16 GB,-,,,,,,,,
8,,,,PC,,i5-14400,500 GB,16 GB,-,,,,,,,,
9,430163GPCC007,CA-0265,คอมประกอบ i5-10400 MSI VENTUS XS,PC,,I5-10400,500 GB,16 GB,rx 570,MO-0138 ,"Samsung 19.5""",MO-0276," msi24.5""",,,,
10,,เครื่องเก่าซ้อ,,All_In_One,,I5-8250U,120 GB,8 GB,mx130,-,-,,,,,,
11,430156GNAS100,CA-0148,Computer Asus PC A2-M11A-TH003D,PC,,I3-3240,240 GB,8 GB,HD Graphics,MO-0223,"Acer 19.5""",,,,,,
12,430160GNLV198,CA-0245,,PC,,i5-14400,500 GB,16 GB,Geaphics 630,MO-0277,"MSI 24""",,,,,,
13,430163GPCC011,CA-0260,คอมประกอบกราฟฟิก Intel i5-9400f,PC,,I5-9400F,240 GB,16 GB,GT 705,MO-0275,"MSI 24""",,,,,,
14,430268AIOLN002,AIOL-0002,(AIO) Lenovo V100 ( 13BE005KTH ) (23.8),All_In_One,,I3-N305,500 GB,16 GB,Intel UHD Graphics Xe 32EUs,,"lenovo 24.5""",,,,,,
15,430163GPCC001,CA-0250,คอมประกอบกราฟฟิก Intel i5-9400f,PC,,I5-9400F,120 GB,16 GB,r7 350 ,MO-0284,"MSI 24.5""",,,,,,
16,430268AIOLN003,AIOL-0003,(AIO) Lenovo V100 ( 13BE005KTH ) (23.8),All_In_One,,I3-N305,240 GB,8 GB,Intel UHD Graphics Xe 32EUs,,"lenovo 24.5""",,,,,,
17,430160GNDE192,CA-0239,Computer Dell Vostro V3668 (W2681501PTH),PC,,I3-7100,240 GB,8 GB,Graphics 630,MO-0072,"HP 19.5""",,,,,,
18,430163GPCC005,CA-0254,คอมประกอบกราฟฟิก Intel i3-9100,PC,,I3-9100,500 GB,8 GB,Graphics 630,MO-0279,"MSI 24""",,,,,,
19,430163GPCC007,CA-0256,คอมประกอบกราฟฟิก Intel i3-9100,PC,,I3-9100,500 GB,8 GB,Graphics 630,MO-0150,"LG 19.5""",,,,,,
20,430163GPCC006,CA-0255,คอมประกอบกราฟฟิก Intel i3-9100,PC,,I3-9100,500 GB,8 GB,Graphics 630,MO-0151,"LG 19.5""",,,,,,
21,430155GPHP043,CA-0064,HP Pavilion P6-2182L,PC,,I3-3220,HDD 1 T,8 GB,HD Graphics,MO-0201,"Acer 19.5""",,,,,,
22,430155GPHP042,CA-0061,HP Pavilion P6-2182L,PC,,I3-2120,120 GB,8 GB,HD Graphics,MO-0140,"HP 19.5""",,,,,,
23,430157GPAS109,CA-0158,ASUS PC A2- M11AA-TH003D,PC,,I3-3240,120 GB,8 GB,HD Graphics,MO-0168,"HP 19.5""",,,,,,
24,430267GPHP 001,AIO-0055,N/Bgame HP Victus 15-fa1093TX (15.6),Notebook,,I5-12,500,,,,,,,,,,
25,430160GPCC197,CA-0244,คอมประกอบกราฟฟิก,PC,,I5-7600K,120 GB,16 GB,HD Graphics,MO-0274,"MSI 24.5""",,,,,,
26,430160GPCC196,CA-0243,คอมประกอบกราฟฟิก,PC,,I7-7700,240 GB,16 GB,Graphics 4400,MO-0282,"MSI 24.5""",,,,,,
27,430163GPCC017,CA-0266,คอมประกอบ i5-10400 GIGABYTE OC,PC,,I5-10400,500 GB,16 GB,GTX 1030,MO-0277,"MSI 24.5""",,,,,,
28,430160GNDE199,CA-0246,PC Dell Vostro V3668-W2681501PTH,PC,,I3-7100,240 GB,8 GB,Graphics 630,MO-0210,"Acer 19.5""",,,,,,
29,430159GNCC160,CA-0209,Comp. คอมสั่งประกอบ ใช้งานทั่วไป,PC,,I3-4160,240 GB,8 GB,Graphics 4400,MO-0014,"BenQ 19.5""",,,,,,
30,430158GNLV131,CA-0180,LENOVO IdeaCentre H5050 (90B7003RTA) ,PC,,I3-4160,240GB,8 GB,GT 705,MO-0215,"Acer 19.5""",,,,,,
31,430269GPLN001,AIO-0062,N/Bgame Lenovo LOQ 15IRX9 83DV019YTA (15.6) Luna Grey,Notebook,,I7-13650HX,500 GB,16 GB,3050,ไม่มีรหัส,"Lenovo 15.6""",,,,,,
32,430163GPDE003,CA-0252,PC Dell Inspiron V3671,PC,,I5 9400,240 GB,8 GB,Graphics 630,MO-0273,"MSI 24""",,,,,,
33,430163GPDE002,CA-0251,PC Dell Inspiron V3671,PC,,I5-9400,240 GB,16 GB,Graphics 630,MO-0272,"MSI 24""",,,,,,
34,430158GPLV141,CA-0190, Lenovo IdeaCentra H5050 (90B700FYTA),PC,,I5-4170,240 GB,16 GB,Display,MO-0271,"MSI 24""",,,,,,
35,430159GPCC173,CA-0222,COMPUTER ประกอบกราฟฟิก,PC,,I5-4460,240 GB,16 GB,R HD 7450,MO-0023,"SS 19.5""",,,,,,
36,430160GNLV198,CA-0038,HP Pavilion p6-2262L บุคคล,PC,,I5-7400,120 GB,16 GB,HD Graphics,MO-0018,"SS 19.5""",,,,,,
37,430167GEDE001,CA-0270,คอมประกอบ i5-12400f  RTX3050/6GB,PC,,I5-12400F,500 GB,16 Gb,RTX 3050,MO-212,"Acer 19.5""",,,,,,
38,430269GPLN002,AIO-0063,N/Bgame Lenovo Legion 5 15IRX10 83LY00HGTA (15.3) Eclipse Black,Notebook,,I7-13650HX,500,16,RTX 5060,MO-0265,"Samsung 23.8""",,,,,,
39,430163GPCC015,CA-0264,COMPUTER SET INTEL iWORK,PC,,I3-10100,240,16,GTX 1650 Super,MO-0004,"Acer 19.5""",MO-0125,"Acer 19.5""",,,,
40,430168GEDE003,CA-0273,คอมประกอบ i5-14400,PC,,I5-14400,500,16,P2200,MO-0259,"Acer 19.5""",MO-0269,"MSI 23.8""",,,,
41,430268GPLN001,AIO-0056,N/Bgame Lenovo LOQ 15IAX9E 83LK002LTA (15.6) Luna Grey,Notebook,,I7-12,500,32,RTX 4050,ไม่มี,"Samsung 23.8""",,,,,,
42,430264GPMSI011,AIO-0051,N/Bgame MSI GF63 Thin 10SC-266TH (15.6) Black,Notebook,,I7-10750H,500,16,1650,MO-0252,"Samsung 23.8""",,,,,,
43,430264GPAC005,AIO-0045,Notebook Acer Nitro AN515-55-52HQ/T005 (Black,Notebook,,I5-10300H,500,16,GTX 1650TI,MO-0268,"MSI 23.8""",,,,,,
44,430268GPLN004,AIO-0060,N/Bgame Lenovo LOQ 15IRX10 83JE00MGTA (15.6) Luna Grey,Notebook,,I7-13650HX,500,16,RTX 5050,MO-0247,"Acer 24""",,,,,,
45,430168GEDE001,CA-0271,คอมประกอบ i5-14400  RTX3050/6GB,PC,,I5-14400,500,16,RTX 3050,MO-0267,"Samsung 24""",MO-0044,"HP 19.5""",,,,
46,430264GPAC006,AIO-0046,Notebook Acer Nitro AN515-55-52HQ/T005 (Black,Notebook,,I5-10300H,500,16,GTX 1650TI,ไม่มี,"Samsung 24""",,,,,,
47,430264GPAC003,AIO-0043,Notebook Acer Nitro AN515-55-52HQ/T005 (Black,Notebook,,I5-10300H,,,GTX 1650TI,MO-0253,"Samsung 23.8""",,,,,,
48,430168GEDE005,CA-0275,คอมประกอบ i5-14400,PC,,I5-14400,500,16,GTX 1650 Super,MO-0283,"MSI 23.8""",MO-0164,"HP 20""",,,,
49,430164GPCC001,CA-0267,คอมประกอบ i7-11700 Quadro p2200,PC,,I7-11700,240,16,P2200,MO-0264,"LG 23.8""",MO-0258,,,,,
50,430168SVDE001,SV-001,DELL EMC PowerEdge R450,Server,,,,,,,,,,,,,
51,430468APC001,SU-001,APC SmartUPS 2000VA 2U SMC,Server,,,,,,,,,,,,,
52,431361EXTH001,ACS-0001,"EXT 2.5"" TB Seagate Backup Plus Slim Gold",Accessories_IT,,,,,,,,,,,,,
53,431361NAS0002,ACS-0002,Nas Zyxel 4 BAY (Nas 540) Dual Core 1.2 Ghz DDR3 1 Gb,Accessories_IT,,,,,,,,,,,,,
54,4313614GR0003,ACS-0003,4G Router TP-Link (TL-MR6400) Wireless,Accessories_IT,,,,,,,,,,,,,
55,4313614GR0004,ACS-0004,4G Router TP-Link (TL-MR6400) Wireless,Accessories_IT,,,,,,,,,,,,,
56,4313614GR0005,ACS-0005,4G Router TP-Link (TL-MR6400) Wireless,Accessories_IT,,,,,,,,,,,,,
57,4313614GR0006,ACS-0006,4G Router D-Link (DWR-921) Wireless N300,Accessories_IT,,,,,,,,,,,,,
58,4313614GR0007,ACS-0007,4G Router D-Link (DWR-921) Wireless N300,Accessories_IT,,,,,,,,,,,,,
59,4313614GR0008,ACS-0008,4G Router D-Link (DWR-921) Wireless N300,Accessories_IT,,,,,,,,,,,,,
60,4313614GR0009,ACS-0009,4G Router D-Link (DWR-921) Wireless N300,Accessories_IT,,,,,,,,,,,,,
61,4313614GR0010,ACS-0010,4G Router TP-Link (TL-MR6400) Wireless,Accessories_IT,,,,,,,,,,,,,
62,431362GSM0011,ACS-0011,Dinstar GSM 3G Gateway 16 Port,Accessories_IT,,,,,,,,,,,,,
63,4313624GR0012,ACS-0012,4G Router TP-Link (TL-MR6400) Wireless N300,Accessories_IT,,,,,,,,,,,,,
64,4313624GR0013,ACS-0013,4G Router TP-Link (TL-MR6400) Wireless N300,Accessories_IT,,,,,,,,,,,,,
65,431362MPJ0014,ACS-0014,"จอโปรเจคเตอร์ ขนาด 100"" แบบชัก",Accessories_IT,,,,,,,,,,,,,
66,431363MKT0001,ACS-0015,Mikrotik CCR1016-12G,Accessories_IT,,,,,,,,,,,,,
67,431363SNLG0002,ACS-0016,Synology DS1019PLUS,Accessories_IT,,,,,,,,,,,,,
68,,ACS-0017,จอโปรเจคเตอร์ กม.5 แบบชัก,Accessories_IT,,,,,,,,,,,,,
69,431364EXSG001,ACS-0018,"EXT.2.5"" 2TB SEAGATE BACKUP PLUS SLIM 'BLACK'",Accessories_IT,,,,,,,,,,,,,
70,431364MKT001,ACS-0019,Cisco SG350X-24 24 Port,Accessories_IT,,,,,,,,,,,,,
71,431364TPL002,ACS-0020,Access Point TP-LINK (EAP245) Wireless AC1750 Gigabit,Accessories_IT,,,,,,,,,,,,,
72,431364TPL003,ACS-0021,Access Point TP-LINK (EAP245) Wireless AC1750 Gigabit,Accessories_IT,,,,,,,,,,,,,
73,431364TPL004,ACS-0022,Access Point TP-LINK (EAP245) Wireless AC1750 Gigabit,Accessories_IT,,,,,,,,,,,,,
74,431365TPL001,ACS-0023,Access Point TP-LINK (EAP245) Wireless AC1750 Gigabit,Accessories_IT,,,,,,,,,,,,,
75,431365TPL002,ACS-0024,Access Point TP-LINK (EAP245) Wireless AC1750 Gigabit,Accessories_IT,,,,,,,,,,,,,
76,431365TPL003,ACS-0025,Access Point TP-LINK (EAP245) Wireless AC1750 Gigabit,Accessories_IT,,,,,,,,,,,,,
77,431368TPL001,ACS-0026,Access Point TP-LINK (EAP225) Wireless AC1350 Gigabit,Accessories_IT,,,,,,,,,,,,,
78,431366SWCC001,ACS-0023,CiscoCBS350-48T,Accessories_IT,,,,,,,,,,,,,
79,431364WD005,,EXT. 2.5'' 1.TB WD My Passport Red,Accessories_IT,,,,,,,,,,,,,
80,431364WD006,,EXT. 2.5'' 1.TB WD My Passport White,Accessories_IT,,,,,,,,,,,,,
81,431365TPL001,ACS-0023,Access Point TP-LINK (EAP245) Wireless AC1750 Gigabit,Accessories_IT,,,,,,,,,,,,,
82,431365TPL002,ACS-0024,Access Point TP-LINK (EAP245) Wireless AC1750 Gigabit,Accessories_IT,,,,,,,,,,,,,
83,431365TPL003,ACS-0025,Access Point TP-LINK (EAP245) Wireless AC1750 Gigabit,Accessories_IT,,,,,,,,,,,,,
84,431367NTCW001,ACS-0026,TL-A4 Comway A4 Fusion Splicer เครื่องสไปรท์สายไฟเบอร์,Optical_Fiber,,,,,,,,,,,,,
85,431367NTTT002,ACS-0027,TESTER สายสัญญาณ Optical Fiber Meter/VFL/OPM/Cable Detector LAN/PoE/Port Flash NOYAFA รุ่น NF-8508,Optical_Fiber,,,,,,,,,,,,,
86,431368MCSM001,MIC-0001,,audio_set,,,,,,,,,,,,,
87,431368MCTD002,MIC-0002,ไมค์ลอยคู่ TADA SLXD8,audio_set,,,,,,,,,,,,,
88,430268AIOLN001,AIOL-0001,(AIO) Lenovo V100 ( 13BE005KTH ) (23.8),All_In_One,,,,,,,,,,,,,
89,430268AIOLN002,AIOL-0002,(AIO) Lenovo V100 ( 13BE005KTH ) (23.8),All_In_One,,,,,,,,,,,,,
90,430268AIOLN003,AIOL-0003,(AIO) Lenovo V100 ( 13BE005KTH ) (23.8),All_In_One,,,,,,,,,,,,,
91,430756GNHP002,AIO-0001,PC HP Pavilion 20 AIO 20-B119L,All_In_One,,,,,,,,,,,,,
92,430756GNHP003,AIO-0002,PC HP Pavilion 20 AIO 20-B119L,All_In_One,,,,,,,,,,,,,
93,AIO-0005,AIO-0005,PC HP Pavilion 20 AIO 20-B119L,All_In_One,,,,,,,,,,,,,
94,AIO-0009,AIO-0009,Notebook Asus K550JK-XX027D (S/N E8N0CY387467658),Notebook,,,,,,,,,,,,,
95,430258GNAS002,AIO-0010,Notebook Asus K550JK-XX027D (S/N E8N0CY387467658),Notebook,,,,,,,,,,,,,
96,430258GNLV003,AIO-0011,Notebook Lenovo G4070-59438305(Black),Notebook,,,,,,,,,,,,,
97,430258GNAS005,AIO-0017,3SA-WX061D Asus NB ZX453SA-WX061D) ,Notebook,,,,,,,,,,,,,
